FID,OBJECTID,WWD_NO,PWSID,PWS_NAME,SRC_DELIN,ZONE,PERIM_FT,ACRES,HECTARES,MILES_SQ,LAST_UPDAT,LOAD_DATE,STATUS,UPDATED_BY,Shapearea,Shapelen
22,308,0922,1000973,WOODSON BEND PROP OWNERS ASSOC,LARGE RESERVOIR,3,187071.307,24611.127,9960.123,38.443,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1071913196.33535,187071.306815684,,
23,12,0014,0110664,NORTH POINT TRAINING CENTER,LARGE RESERVOIR,3,192761.528,27075.206,10957.336,42.291,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,INACTIVE,DOW 2019,1179233715.5501,192761.529113267,,
24,164,0388,1030480,MOREHEAD STATE UNIVERSITY,STREAM,3,194303.464638,30674.7205968,12413.6190052,47.92925094,2019-02-06T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1336185484.75124,194303.464814749,,
25,333,1059,0220335,OLIVE HILL MUN WATER WORKS,STREAM,3,194413.620037,35527.3781688,14377.4198513,55.5115284,2019-01-10T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1547566403.08537,194413.62008843,,
26,0,1723,1150415,SPRINGFIELD WATER WORKS,STREAM,3,220747.329265,41832.2015437,16928.891348,65.36281492,2019-01-28T00:00:00.000Z,1899-12-30T00:00:00.000Z,ACTIVE,DOW 2019,1822203408.37617,220747.330158295,,
27,89,0174,0620200,HODGENVILLE WATER WORKS,STREAM,3,221631.577,33082.797,13388.608,51.675,2019-02-13T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1440888356.86107,221631.576056619,,
28,38,0044,0050929,GLASGOW WATER COMPANY,STREAM,3,231353.015589,30195.5310301,12219.6978677,47.18051724,2019-02-08T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1315312070.22283,231353.015582119,,
29,158,0353,0670466,US FILTER OPERATION/WHITESBURG,STREAM,3,232849.131,28895.816,11694.137,45.135,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1258528575.42326,232849.131184682,,
30,351,1118,0240201,HOPKINSVILLE WATER ENV AUTH,STREAM,3,234771.874,37524.303,15186.085,58.613,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1634333745.62625,234771.873809142,,
31,276,0761,0480092,CUMBERLAND MUN WATER WORKS,STREAM,3,240570.468,36347.629,14709.885,56.775,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1583084876.50249,240570.468667749,,
32,135,0268,0720113,EDDYVILLE WATER DEPARTMENT,LARGE RESERVOIR,3,245737.379624,47374.5319302,19171.79288,74.02270615,2019-01-31T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,2063626356.26447,245737.379764494,,
33,0,1652,0860150,MONROE COUNTY WATER DISTRICT,STREAM,3,248506.253454,66576.2666765,26942.4592379,104.0254167,2019-01-31T00:00:00.000Z,2019-01-31T00:00:00.000Z,ACTIVE,DOW 2019,2900050574.80259,248506.253320301,,
34,269,0749,0060338,OWINGSVILLE WATER WORKS,STREAM,3,250161.546,38496.877,15579.686,60.132,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,INACTIVE,DOW 2019,1676693265.24061,250161.545926767,,
35,415,1494,0220555,RATTLESNAKE RIDGE WATER DIST,LARGE RESERVOIR,3,251284.50609,35293.25,14283.178,55.128,2004-09-27T00:00:00.000Z,2004-09-27T00:00:00.000Z,ACTIVE,DOW 2019,1537162435.13588,251284.506089978,,
