__OBJECTID,County,Sample Location,Latitude,Longitude,Sample ID,Collection Date,Received,Sample Type,PFBS,HFPO-DA,PFHpA,PFHxS,ADONA,PFOA,PFOS,PFNA,Total PFAS,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,x,y
44,Hopkins,Elk Creek,37.38567,-87.41225,AR02469,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.4122500081358,37.3856699951541
45,Hopkins,Pond River,37.317286,-87.369112,AR02489,8/31/2020,9/2/2020,NP-NO DATA,,,,,,,,,0,,,,,,-87.3691120098771,37.3172859708527
46,Jessamine,West Hickman Creek,37.934467,-84.502258,AR01831,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.5022579870478,37.9344670020503
47,Knox,Cumberland River,36.8358,-83.81198,AR02225,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.8119800361479,36.8357999904758
48,Laurel,Laurel River,37.05951,-83.9988,AR02211,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.9987999708404,37.0595099777247
49,Madison,Harts Fork,37.678858,-84.278292,AR01835,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.2782919967048,37.6788580291507
50,Madison,Walnut Meadow Branch,37.593586,-84.324318,AR01839,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.3243179887704,37.593586011987
51,Marshall,Cypress Creek,37.029583,-88.412982,AR02463,9/1/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-88.4129820381347,37.029583010684
52,McCracken,Clarks River,36.995971,-88.563001,AR02459,9/1/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-88.5630009600773,36.9959709893293
53,McCreary,Big South Fork Cumberland River,36.699838,-84.53691,AR02219,8/17/2020,8/18/2020,DW,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.5369099601436,36.6998379840688
54,McCreary,Big South Fork Cumberland River,36.699838,-84.53691,AR02221,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.5369099601436,36.6998379840688
55,McLean,Buck Creek,37.510696,-87.159354,AR02481,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.1593540435622,37.5106959900041
56,Ohio,Muddy Creek,37.43484,-86.88578,AR02485,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-86.8857800289581,37.434839978089
57,Pike,Levisa Fork - Upstream,37.40698,-82.44326,AR02173,8/10/2020,8/11/2020,DW,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.4432599772056,37.4069800320881
58,Pike,Levisa Fork - Upstream,37.40698,-82.44326,AR02175,8/10/2020,8/11/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-82.4432599772056,37.4069800320881
59,Pulaski,SInking Creek,37.050133,-84.603198,AR02217,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-84.6031979924317,37.0501330246243
60,Rowan,North Fork Triplett Creek,38.209213,-83.467257,AR01821,7/9/2020,7/10/2020,DW,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.4672570255903,38.2092130231287
61,Rowan,North Fork Triplett Creek,38.209213,-83.467257,AR01823,7/9/2020,7/10/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-83.4672570255903,38.2092130231287
62,Simpson,West Fork Drakes Creek,36.7739,-86.5419,AR02259,8/18/2020,8/19/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-86.5418999974631,36.773900021047
63,Union,Casey Creek,37.714444,-87.767825,AR02473,8/31/2020,9/2/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-87.7678250266517,37.7144440317283
64,Warren,Barren River,37.017986,-86.472211,AR02263,8/17/2020,8/18/2020,NP,ND,ND,ND,ND,ND,ND,ND,ND,0,,,,,,-86.4722110333409,37.0179859977876
