__OBJECTID,PUBLIC WATER SYSTEM ID,Water System Name,Status,Principal County Served,Primary Source Water Type,Longitude,Latitude,attribute_7,Note,attribute_9,x,y
60,KY0180502,CENTER RIDGE WATER DISTRICT #3,A,CALLOWAY,GW,-88.111351,36.561652,,,,-88.1113510320933,36.5616520085349
61,KY0183106,CENTER RIDGE WATER DISTRICT #4,A,CALLOWAY,GW,-88.111351,36.561652,,,,-88.1113510320933,36.5616520085349
62,KY0180549,CENTER RIDGE WATER SYSTEM,A,CALLOWAY,GW,-88.111351,36.561652,,,,-88.1113510320933,36.5616520085349
63,KY0183007,CYPRESS COVE RV PARK LLC,A,CALLOWAY,GW,-88.0955,36.55,,,,-88.0954999894104,36.5499999661333
64,KY0182841,CYPRESS SPRINGS RESORT,A,CALLOWAY,GW,-88.0955,36.55,,,,-88.0954999894104,36.5499999661333
65,KY0180102,DEXTER ALMO HEIGHTS WATER DISTRICT,A,CALLOWAY,GWP,-88.3006075,36.6963059,,,,-88.3006074673308,36.6963058746677
66,KY0182842,KENTUCKY BEACH RESORT,A,CALLOWAY,GW,-88.3032,36.6099,,,,-88.3032000052408,36.6098999773237
67,KY0183626,LAKEVIEW COTTAGES & MARINA,A,CALLOWAY,GW,-88.080418,36.50239,,,,-88.0804179944422,36.5023900209495
68,KY0183132,MISSING HILL RESORT,A,CALLOWAY,GW,-88.075345,36.502289,,,,-88.0753450283698,36.5022889998471
69,KY0183334,MSU HANCOCK BIO STATION,A,CALLOWAY,GW,-88.117164,36.734806,,,,-88.1171640302968,36.7348060295026
70,KY0180308,MURRAY WATER DISTRICT #2,A,CALLOWAY,GWP,-88.3032,36.6099,,,,-88.3032000052408,36.6098999773237
71,KY0180306,MURRAY WATER SYSTEM,A,CALLOWAY,GW,-88.299632,36.607544,,,,-88.2996319867638,36.6075439939567
72,KY0183519,NEW CONCORD DOLLAR GENERAL STORE,A,CALLOWAY,GW,-88.829702,35.682824,,,,-88.8297019644426,35.6828239823019
73,KY0182057,PARADISE RESORT,A,CALLOWAY,GW,-88.3032,36.6099,,,,-88.3032000052408,36.6098999773237
74,KY0183544,SHILOH DOLLAR GENERAL-SUSAN COX,A,CALLOWAY,GW,-88.193711,36.690442,,,,-88.1937110027926,36.6904419799381
75,KY0180185,SOUTH 641 WATER DISTRICT,A,CALLOWAY,GWP,-83.412567,37.8005868,,,,-83.4125669622724,37.800586798398
76,KY0180914,STELLA TRAILER PARK,A,CALLOWAY,GW,-88.40587,36.598347,,,,-88.4058699861988,36.5983470235653
77,KY0182822,SUNSET HARBOR HILL CAMPGROUND,A,CALLOWAY,GW,-88.117343,36.727072,,,,-88.1173429747014,36.7270720320501
78,KY0183715,WESTERN SHORES PAVILION,A,CALLOWAY,GW,-88.301316,36.955301,,,,-88.3013159685954,36.955300977516
79,KY0200009,ARLINGTON WATER DEPARTMENT,A,CARLISLE,GW,-89.012556,36.789275,,,,-89.0125560168187,36.789274994087
80,KY0200018,BARDWELL CITY UTILITIES,A,CARLISLE,GW,-89.011081,36.871756,,,,-89.0110809831222,36.871755994838
81,KY0202008,CARLISLE COUNTY BOARD OF EDUCATION,A,CARLISLE,GW,-88.933981,36.834,,,,-88.9339810077375,36.8340000207394
82,KY0200095,CUNNINGHAM WATER DISTRICT,A,CARLISLE,GW,-88.645187,36.568772,,,,-88.6451870169376,36.5687719964523
83,KY0200284,MILBURN WATER DISTRICT,A,CARLISLE,GWP,-88.885114,36.798358,,,,-88.8851140037543,36.7983580133326
84,KY0203742,TRINITY HOLINESS SCHOOL,A,CARLISLE,GW,-88.88978,36.90756,,,,-88.8897800330031,36.9075599711667
85,KY0210066,CARROLL COUNTY WATER DISTRICT #1,A,CARROLL,GW,-86.955976,36.983606,,,,-86.9559760022268,36.9836059902832
86,KY0210067,CARROLLTON UTILITIES,A,CARROLL,GW,-85.17225,38.677573,,,,-85.1722500025387,38.6775729830137
87,KY0210008,WEST CARROLL WATER DISTRICT - CARROLLTON,A,CARROLL,GWP,-85.17225,38.677573,,,,-85.1722500025387,38.6775729830137
88,KY0210637,GRAYSON UTILITY COMMISSION,A,CARROLL,GWP,-85.17225,38.677573,,,,-85.1722500025387,38.6775729830137
89,KY0210419,WEST CARROLL WATER DISTRICT- HENRY CO #2,A,CARROLL,GWP,-85.17225,38.677573,,,,-85.1722500025387,38.6775729830137
90,KY0222251,CAMP ROBERT C WEBB,A,CARTER,GW,-82.978563,38.24185,,,,-82.9785630007405,38.2418500074238
91,KY0220164,GRAYSON UTILITY COMMISSION,A,CARTER,SW,-82.953066,38.317244,,,,-82.9530660281998,38.3172440250245
92,KY0220335,OLIVE HILL MUNICIPAL WATER WORKS,A,CARTER,SW,-83.2601784,37.9210819,,,,-83.2601783744419,37.9210818793905
93,KY0220555,RATTLESNAKE RIDGE WATER DISTRICT,A,CARTER,SW,-82.970708,38.268743,,,,-82.9707080420646,38.2687430172209
94,KY0230556,EAST CASEY COUNTY WATER DISTRICT,A,CASEY,SWP,-84.943319,37.308695,,,,-84.9433190236203,37.3086949874472
95,KY0230987,LIBERTY WATER WORKS,A,CASEY,SW,-84.957722,37.302162,,,,-84.9577219820652,37.3021619993762
96,KY0240521,CHRISTIAN COUNTY WATER DISTRICT,A,CHRISTIAN,SWP,-87.5105252,36.8832086,,,,-87.5105251612293,36.8832085930063
97,KY0241001,FORT CAMPBELL,A,CHRISTIAN,SWP,-87.460122,36.657133,,,,-87.4601220381103,36.6571330201324
98,KY0240201,HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,A,CHRISTIAN,SW,-87.485001,36.863714,,,,-87.4850009697355,36.8637139769129
99,KY0240329,OAK GROVE UTILITIES OFFICE,A,CHRISTIAN,SWP,-87.4083308,36.672275,,,,-87.4083308382142,36.6722750278312
100,KY0250981,EAST CLARK COUNTY WATER DISTRICT,A,CLARK,SWP,-84.1740185,37.9938218,,,,-84.1740185229646,37.9938218199807
101,KY0250473,WINCHESTER MUNICIPAL UTILITIES,A,CLARK,SW,-84.1749784,37.9970781,,,,-84.1749783728457,37.9970780673034
102,KY0260737,MANCHESTER WATER WORKS,A,CLAY,SW,-83.7589828,37.1633748,,,,-83.7589827581514,37.1633748068994
103,KY0260266,NORTH MANCHESTER WATER ASSOC,A,CLAY,SWP,-83.691984,37.089241,,,,-83.6919839788105,37.089240982953
104,KY0270003,ALBANY WATER WORKS,A,CLINTON,SW,-85.135074,36.6916963,,,,-85.1350740329892,36.6916962922879
105,KY0280267,MARION WATER DEPARTMENT,A,CRITTENDEN,SW,-85.1506834,37.4938221,,,,-85.1506834288606,37.4938221286173
106,KY0290049,BURKESVILLE WATER WORKS,A,CUMBERLAND,SW,-85.3670001,36.7877638,,,,-85.3670000848963,36.7877637866561
107,KY0290271,CUMBERLAND COUNTY WATER DISTRICT,A,CUMBERLAND,SWP,-85.3684521,36.8072952,,,,-85.3684521217216,36.8072951725562
108,KY0300109,E DAVIESS COUNTY WATER ASSOC INC,A,DAVIESS,GWP,-86.91419,37.775858,,,,-86.9141899684707,37.7758580327019
109,KY0300320,NORTH MCLEAN COUNTY WATER DISTRICT,A,DAVIESS,SWP,-87.1347412,37.486796,,,,-87.1347411929242,37.4867960310263
110,KY0300336,OWENSBORO MUNICIPAL UTILITIES,A,DAVIESS,GW,-87.1368769,37.7330183,,,,-87.1368769375122,37.7330182733957
111,KY0300387,S E DAVIESS COUNTY WATER DISTRICT,A,DAVIESS,GWP,-87.160506,37.748953,,,,-87.1605060430826,37.7489529800992
112,KY0300450,WEST DAVIESS COUNTY WATER DISTRICT,A,DAVIESS,GWP,-87.160506,37.748953,,,,-87.1605060430826,37.7489529800992
113,KY0300467,WHITESVILLE WATER WORKS,A,DAVIESS,GWP,-86.871563,37.678535,,,,-86.8715630217771,37.6785350343901
114,KY0310706,BROWNSVILLE MUNICIPAL WATER SYSTEM,A,EDMONSON,SWP,-86.263313,37.1911,,,,-86.2633130242475,37.1910999828799
115,KY0310114,EDMONSON COUNTY WATER DISTRICT,A,EDMONSON,SW,-86.282523,37.204757,,,,-86.2825229576093,37.2047569870289
116,KY0310940,MAMMOTH CAVE/CENTRAL SYSTEM,A,EDMONSON,SWP,-85.958223,37.139236,,,,-85.958222965373,37.1392359934421
117,KY0320383,SANDY HOOK WATER DISTRICT,A,ELLIOTT,GW,-83.121912,38.083793,,,,-83.12191202153,38.0837930323111
118,KY0330123,ESTILL COUNTY WATER DISTRICT,A,ESTILL,SWP,-83.989814,37.699014,,,,-83.9898140332218,37.6990140155008
119,KY0330205,IRVINE MUNICIPAL UTILITIES,A,ESTILL,SW,-83.967987,37.69746,,,,-83.9679870379429,37.6974600260463
120,KY0340965,BLUEGRASS STATION,A,FAYETTE,SWP,-84.32311,38.076447,,,,-84.3231100242079,38.0764470283293
121,KY0340250,KENTUCKY-AMERICAN WATER CO,A,FAYETTE,SW,-84.463238,38.013234,,,,-84.4632379558831,38.0132339862381
122,KY0350133,FLEMING CO WATER ASSOCIATION,A,FLEMING,SWP,-83.736887,38.41132,,,,-83.7368869869395,38.4113200077342
123,KY0350134,FLEMINGSBURG UTILITY SYSTEM,A,FLEMING,SW,-83.73406,38.420912,,,,-83.7340599887404,38.4209120323601
124,KY0351008,GREATER FLEMING CO WT COMM,A,FLEMING,GW,-83.63899,38.625115,,,,-83.6389900245806,38.6251149905158
125,KY0360152,FRANCIS WATER COMPANY,A,FLOYD,GW,-82.833271,37.482846,,,,-82.833271013823,37.4828459754675
126,KY0360272,MARTIN WATER DEPARTMENT,A,FLOYD,SWP,-82.533371,37.868705,,,,-82.5333709715025,37.8687049996313
127,KY0360358,PRESTONSBURG CITY UTILITIES,A,FLOYD,SW,-82.742474,37.669277,,,,-82.7424739761436,37.6692770072717
128,KY0360026,SOUTHERN WATER & SEWER DISTRICT,A,FLOYD,SW,-82.736403,37.456116,,,,-82.7364029817905,37.4561159908331
129,KY0360463,WHEELWRIGHT UTILITY COMMISSION,A,FLOYD,GU,-82.720752,37.335587,,,,-82.7207519939214,37.3355870123238
130,KY0370137,ELKHORN WATER DISTRICT,A,FRANKLIN,SWP,-84.730823,38.050931,,,,-84.7308229923195,38.0509310316946
131,KY0370128,FARMDALE WATER DISTRICT,A,FRANKLIN,SWP,-84.926059,38.14076,,,,-84.9260589734143,38.140760015158
